"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"1024","AASHA SANDESHA","KARKAN/2019/78705","22-06-2020","Kannada","Weekly","MOHAMED ATHEEQ ULLA","MOHAMED ATHEEQ ULLA","Karnataka","Tumkur"
"1025","AASHARA MUKTANGAN","MAHHIN/2012/45032","05-09-2012","Hindi","Monthly","MAHANANDA MOHAN SHIRKAR","MAHANANDA MOHAN SHIRKAR","Maharashtra","Thane"
"1026","AASHAVADI EXPRESS","DELHIN/2004/14584","24-05-2005","Hindi","Weekly","RAJKUMAR","RAJKUMAR","Delhi","New Delhi"
"1027","AASHAWADI","MAHMAR/2021/81970","21-09-2022","Marathi","Weekly","VIVEK JAYAJI RAUT","VIVEK JAYAJI RAUT","Maharashtra","Akola"
"1028","AASHI EXPRESS","MPHIN/2019/78234","29-11-2019","HINDI","Daily","KHWAHISH GYANCHANDANI","KHWAHISH GYANCHANDANI","Madhya Pradesh","Bhopal"
"1029","AASHI EXPRESS","MPHIN/2016/68579","06-09-2016","HINDI","Monthly","KHWAHISH GYANCHANDANI","KHWAHISH GYANCHANDANI","Madhya Pradesh","Bhopal"
"1030","AASHI SAMACHAR PATRA","UPHIN/2013/51065","25-07-2013","Hindi","Weekly","VISHWA PAL SINGH","VISHWA PAL SINGH","Uttar Pradesh","Kannauj"
"1031","AASHI SAMACHAR PATRA","UPHIN/2014/60163","12-02-2015","Hindi","Daily","VISHWA PAL SINGH","VISHWA PAL SINGH","Uttar Pradesh","Kannauj"
"1032","AASHI TIMES","MPHIN/2009/30663","29-01-2010","Hindi","Monthly","AASHI ANWAR","AASHI ANWAR","Madhya Pradesh","Bhopal"
"1033","AASHIRVADA VANI","KARKAN/2020/78861","18-08-2020","Kannada","Daily","SUDHARANI","SUDHARANI","Karnataka","Bidar"
"1034","AASHIYANA","DELHIN/2008/23682","29-04-2008","Hindi","Monthly","ANSHU JAIN","ANSHU JAIN","Delhi","New Delhi"
"1035","AASHNA TIMES","UTTHIN/2013/52300","30-09-2013","Hindi","Fortnightly","SHIV AVTAR SHARMA","SHIV AVTAR SHARMA","Uttarakhand","Udham Singh Nagar"
"1036","AASHWI UPDATES","TGMUL/26/A2874","29-04-2026","English, Telugu, Hindi","Daily","SHOBHA RANI KASOJU","SHOBHA RANI KASOJU","Telangana","Rangareddy"
"1037","AASIM TIMES","UTTHIN/2010/34615","06-12-2010","Hindi","Fortnightly","PARVEJ AASIM","PARVEJ AASIM","Uttarakhand","Udham Singh Nagar"
"1038","AASIRIYAR & MAANAVARGAL","TNBIL/2016/69423","05-12-2016","English, Tamil","Monthly","V. SUNDARARAJAN","V.SUNDARARAJAN","Tamil Nadu","Chennai"
"1039","AASIYAAN KHABAR AGAAZ SE ANJAM TAK","UPHIN/2010/32043","22-04-2010","Hindi","Fortnightly","JAVED MALIK","JAVED MALIK","Uttar Pradesh","Meerut"
"1040","AASMAN","JKURD/2013/52192","24-09-2013","Urdu","Daily","TARUN BAHL","TARUN BAHL","Jammu and Kashmir","Jammu"
"1041","AASMAN KA SANSAR","MPHIN/2018/77496","17-06-2019","Hindi","Monthly","SOHAN SINGH","SOHAN SINGH","Madhya Pradesh","Bhopal"
"1042","AASMAN KA SANSAR","MPHIN/2019/78346","30-12-2019","Hindi","Fortnightly","SOHAN SINGH","SOHAN SINGH","Madhya Pradesh","Bhopal"
"1043","AASMAN KA SANSAR","MPHIN/2017/72550","07-07-2017","Hindi","Quarterly","SOHAN SINGH","SOHAN SINGH","Madhya Pradesh","Bhopal"
"1044","AASMAN KE SITARE","MPHIN/2017/71884","22-05-2017","Hindi","Monthly","SANDEEP GAUR","SANDEEP GAUR","Madhya Pradesh","Bhopal"
"1045","AASMAN TAK","UPHIN/2014/58313","18-11-2014","Hindi","Weekly","SHAHZAD ALI","SHAHZAD ALI","Uttar Pradesh","Bareilly"
"1046","AASPAAS","51554","01-11-1993","Punjabi","Monthly","KANWAR MANJIT SINGH","KANWAR MANJIT SINGH","Punjab","Patiala"
"1047","AASRA DARPAN","MAHMAR/2014/60512","02-03-2015","Marathi","Weekly","DILIP NAMDEVRAO KHANDEKAR","DILIP NAMDEVRAO KHANDEKAR","Maharashtra","Amravati"
"1048","AASRA NEWS INDIA","UPBIL/2017/73198","12-09-2017","English, HINDI","Weekly","RAKESH BAHADUR","RAKESH BAHADUR","Uttar Pradesh","Moradabad"
"1049","AASTEEN KE SAANP","MPHIN/2008/24262","18-06-2008","Hindi","Monthly","KRISHAN KANT SHARMA","KRISHAN KANT SHARMA","Madhya Pradesh","Bhopal"
"1050","AASTHA","GUJGUJ/2011/49967","28-05-2013","Gujarati","Monthly","DAVE PRASHANT BHANUSHANKAR","DAVE PRASHANT BHANUSHANKAR","Gujarat","Rajkot"
"1051","AASTHA DARPAN","MPHIN/2017/73542","16-10-2017","Hindi","Monthly","SHWETA SHRIVASTAV","SHWETA SHRIVASTAV","Madhya Pradesh","Jabalpur"
"1052","AASTHA KA PATH","MPHIN/2023/87444","10-06-2024","Hindi","Monthly","MUNINDRA SINGH","MUNINDRA SINGH","Madhya Pradesh","Bhopal"
"1053","AASTHA NAYAN","DELHIN/2018/75163","10-05-2018","Hindi","Monthly","ANJU DEVI","ANJU DEVI","Delhi","New Delhi"
"1054","AASTHANJALI","MPHIN/2010/35821","21-02-2011","Hindi","Monthly","AVNEESH KUMAR TIWARI","AVNEESH KUMAR TIWARI","Madhya Pradesh","Bhopal"
"1055","AAT PAT","45185","09-09-1986","Hindi","Weekly","MOHD. ARIF","MOHD. ARIF","Madhya Pradesh","Bhopal"
"1056","AATACHEXPRESS","MAHMAR/2008/25866","14-10-2008","Marathi","Weekly","MUNDE SUGRIV SOPANRAO","MUNDE SUGRIV SOPANRAO","Maharashtra","Chhatrapati Sambhaji Nagar"
"1057","AATAM SHUDHI PATH","HARHIN/2003/09646","22-04-2003","Hindi","Monthly","SWAMI DHARMA MUNI","SWAMI DHARMA MUNI","Haryana","Jhajjar"
"1058","AATHARAM","TNBIL/2004/14004","24-02-2005","English, Tamil","Monthly","DR.R.CHANDRASEKHAR","DR.R.CHANDRASEKHAR","Tamil Nadu","Vellore"
"1059","AATHI THAMIZHAN","TNTAM/2009/28769","20-08-2009","Tamil","Daily","MANI NADESAN","MANI NADESAN","Tamil Nadu","Chennai"
"1060","AATHMA","APTEL/2012/47543","18-01-2013","Telugu","Monthly","BETHAPUDI RAMESH","BETHAPUDI RAMESH","Andhra Pradesh","Krishna"
"1061","AATHMA ANUBHAVAM","TNTAM/2015/65998","05-02-2016","Tamil","Monthly","SAKTHI SUBRAMANIAM","SAKTHI SUBRAMANIAM","Tamil Nadu","Thiruvallur"
"1062","AATHMA GNANAM","TNTAM/2012/52855","01-11-2013","Tamil","Monthly","K. MUTHAIYAN","K. MUTHAIYAN","Tamil Nadu","Chennai"
"1063","AATHMAARPANA","APTEL/2012/52885","31-10-2013","Telugu","Monthly","VENKUMAHANTHI SREENIVASA","VENKUMAHANTHI SREENIVASA","Andhra Pradesh","Visakhapatnam"
"1064","AATHMANADAM","KERMAL/2023/88768","02-09-2024","MALAYALAM","Quarterly","GIREESH KUMAR P.K","GIREESH KUMAR P.K","Kerala","Thiruvananthapuram"
"1065","AATHMEEYA YAATHRA MASIKA","KERMAL/2007/22855","04-02-2008","Malayalam","Monthly","ESAHAQUE  ESWARAMANGALAM","USHMA ULLAS","Kerala","Ernakulam"
"1066","AATHVAN FALAK","65998","27-05-1997","Hindi","Monthly","NIKHIL RAJAK","NIKHIL RAJAK","Madhya Pradesh","Bhopal"
"1067","AATHVAN LEKHANICHI","MAHBIL/2021/80364","27-10-2021","Marathi, Hindi","Weekly","RAVINDRA NAVAL SONAWANE","RAVINDRA NAVAL SONAWANE","Maharashtra","Thane"
"1068","AATM JAGRAN","MPBIL/2022/85310","29-08-2023","English, HINDI","Weekly","ABHISHEK PRATAP SINGH","DR. ABHISHEK PRATAP SINGH","Madhya Pradesh","Gwalior"
"1069","AATM JAGRAN","MPHIN/26/A4593","03-06-2026","HINDI","Quarterly","ABHISHEK PRATAP SINGH","ABHISHEK PRATAP SINGH","Madhya Pradesh","Gwalior"
"1070","AATM KALYAN","MPHIN/2007/20570","27-07-2007","Hindi","Monthly","RAJESH SHASTRI","RAJESH SHASTRI","Madhya Pradesh","Ujjain"
"1071","AATM NIRBHAR BETIYA","MPHIN/2022/84955","12-06-2023","Hindi","Quarterly","FAIZAN ANJUM","FAIZAN ANJUM","Madhya Pradesh","Bhopal"
"1072","AATM UJALA","UTTHIN/2009/30841","10-02-2010","Hindi","Weekly","OM GAUTAM","OM GAUTAM","Uttarakhand","Haridwar"
"1073","AATMA GAURAV","MPHIN/2004/14066","02-03-2005","Hindi","Monthly","MD.IMRAN","MD.IMRAN","Madhya Pradesh","Bhopal"
"1074","AATMA KA TAANDAV","MPHIN/2007/22638","21-01-2008","Hindi","Daily","VINDESH KUMAR TIWARI","VINDESH KUMAR TIWARI","Madhya Pradesh","Betul"
"1075","AATMA KATHA","33425","29-12-1979","Hindi","Daily","ABINASH CHANDRA MISHRA","SAKHRESHWAR PUBLICATIONS PVT LTD","Bihar","Patna"
"1076","AATMA KI JWALA","56342","09-09-1993","Hindi","Daily","RISHABH JAIN","RISHABH JAIN","Rajasthan","Dungarpur"
"1077","AATMA SAKSHI","KNKAN/26/A6040","25-07-2026","Kannada","Daily","SURESH","SURESH","Karnataka","Bengaluru"
"1078","AATMADEEP","MPHIN/2020/79416","17-02-2021","Hindi","Weekly","DEVENDRA YADAV","DEVENDRA YADAV","Madhya Pradesh","Bhopal"
"1079","AATMAGOURAVAM","APTEL/2015/66254","26-02-2016","Telugu","Monthly","BAYIKATI PRAHALLAD","BAYIKATI PRAHALLAD","Andhra Pradesh","Kurnool"
"1080","AATMANIRBHAR KISAN","CHHHIN/2022/86427","12-02-2024","Hindi","Monthly","PRADEEP SAO","PRADEEP SAO","Chhattisgarh","Raipur"
"1081","AATMAPARIKSHAN","MAHMAR/2014/58589","27-11-2014","Marathi","Weekly","MADHURI VISHWAS GAIKWAD","MADHURI VISHWAS GAIKWAD","Maharashtra","Ahilyanagar"
"1082","AATMARAKSHA","MAHHIN/2010/35971","01-03-2011","Hindi","Weekly","SANDEEP SUBHASH FUKATE","SANDEEP SUBHASH FUKATE","Maharashtra","Amravati"
"1083","AATMASHAKTI","MAHMAR/2016/76129","26-09-2018","Marathi","Weekly","VILAS PRABHAKARRAO DESHMUKH","VILAS PRABHAKARRAO DESHMUKH","Maharashtra","Buldhana"
"1084","AATMBAL","UPHIN/2008/26071","07-11-2008","Hindi","Weekly","VINEET KUMAR","VINEET KUMAR","Uttar Pradesh","Gautam Buddha Nagar"
"1085","AATMBHASHI","MPHIN/2023/88323","02-08-2024","HINDI","Bimonthly (Once in two months)","HARI SHANKAR SARATHE","HARI SHANKAR SARATHE","Madhya Pradesh","Bhopal"
"1086","AATMDRISHTI","HARHIN/2012/45275","17-09-2012","Hindi","Monthly","RAMESH KUMAR SHASTRI","RAMESH KUMAR SHASTRI","Haryana","Jind"
"1087","AATMEEYA VAANI","APTEL/2014/74619","12-02-2018","Telugu","Monthly","ACHARY CHINTHARALA","ACHARY CHINTHARALA","Andhra Pradesh","N T R"
"1088","AATMEEYATA","64948","17-09-1996","Hindi","Weekly","RAKESH JAISWAL","SUNITA JAISWAL","Uttar Pradesh","Kanpur Nagar"
"1089","AATMIYA SABHA","MPHIN/2010/36116","11-03-2011","Hindi","Monthly","AMITABH PANDEY","AMITABH PANDEY","Madhya Pradesh","Bhopal"
"1090","Aatreya Times","APTEL/25/A2416","04-09-2025","Telugu","Monthly","CHAITANYA ARAVAM","CHAITANYA ARAVAM","Andhra Pradesh","Guntur"
"1091","Aatthuma Challenge","TNTAM/25/A1641","04-07-2025","Tamil","Monthly","Koilraj M","Koilraj M","Tamil Nadu","Chennai"
"1092","AATUR","68995","12-12-2005","Gujarati","Weekly","HARISHKUMAR RAVIKANT TRIVEDI","HARISH KUMAR RAVIKANT TRIVEDI","Gujarat","Ahmedabad"
"1093","AAUREUS PRIME","MHENG/26/A0915","06-02-2026","English","Weekly","Dr. Geet Sureshbhai Thakkar","Dr. Geet Sureshbhai Thakkar","Maharashtra","Mumbai Suburban"
"1094","AAVAHN VADI","MPHIN/2022/87099","01-05-2024","Hindi","Quarterly","PRIYANKA MISHRA","PRIYANKA MISHRA","Madhya Pradesh","Rewa"
"1095","AAVAJ PIYUSH CHA","MAHBIL/2022/81635","07-07-2022","Marathi, Hindi","Daily","PUJA KAMALAKAR KHONDE","PUJA KAMALAKAR KHONDE","Maharashtra","Wardha"
"1096","AAVAK JAAVAK","CHHHIN/2013/53497","12-12-2013","Hindi","Fortnightly","HALIMA BEGUM","HALIMA BEGUM","Chhattisgarh","Rajnandgaon"
"1097","aavaram poo","TNTAM/26/A0782","27-01-2026","Tamil","Fortnightly","JOTHIRAJ","JOTHIRAJ","Tamil Nadu","Chennai"
"1098","AAVARAN","GUJGUJ/2010/40754","13-02-2012","Gujarati","Fortnightly","GOSWAMI JAGDISHGIRI MOHANGIRI","GOSWAMI JAGDISHGIRI MOHANGIRI","Gujarat","Kutch"
"1099","AAVASHYAKTA","MAHMAR/2006/24678","16-07-2008","Marathi","Weekly","SUBHASH ARJUNRAO KATKAMBLE","SUBHASH ARJUNRAO KATKAMBLE","Maharashtra","Nanded"
"1100","Aaveg Pulse","MPENG/25/A4115","19-11-2025","English","Monthly","MINI SHARMA","MINI SHARMA","Madhya Pradesh","Bhopal"
"1101","AAVESH NEWS","MPHIN/2017/73910","23-11-2017","Hindi","Weekly","JAGDISH SINGH RAJPUT","JAGDISH SINGH RAJPUT","Madhya Pradesh","Bhopal"
"1102","AAVESH NEWS","MPHIN/2016/68577","06-09-2016","Hindi","Daily","JAGDISH SINGH RAJPUT","JAGDISH SINGH RAJPUT","Madhya Pradesh","Bhopal"
"1103","AAVISHKAR","GUJGUJ/2015/61911","12-05-2015","Gujarati","Weekly","DAVE MAHIPAL HITENDRAKUMAR","DAVE MAHIPAL HITENDRAKUMAR","Gujarat","Surendranagar"
"1104","AAWAAM KI KHATIR","UPURD/2022/85481","29-09-2023","Urdu","Daily","RAM PAL DIXIT","SHRUTI KIRTI DIXIT","Uttar Pradesh","Lucknow"
"1105","AAWAGAMAN","DELHIN/2013/61373","20-04-2015","Hindi","Monthly","SANJAY KUMAR","SANJAY KUMAR","Delhi","New Delhi"
"1106","AAWAJ E TASNEEM","RJBIL/25/A1815","14-07-2025","Urdu, Hindi","Weekly","Rmakant Goswami","Rmakant Goswami","Rajasthan","Jaipur"
"1107","AAWAJ GADCHIROLI CHA","MAHMAR/2023/84881","21-09-2023","Marathi","Daily","PUSHPA TAWAR MADAVI","PUSHPA TAWAR MADAVI","Maharashtra","Gadchiroli"
"1108","AAWAJ HINDU EKTA CHA","MAHMAR/2021/81549","08-06-2022","Marathi","Weekly","DEEPAK NARAYAN DHAVALE","DEEPAK NARAYAN DHAVALE","Maharashtra","Sangli"
"1109","AAWAJ INDIA NEWS","MHMAR/26/A2710","17-04-2026","Marathi","Weekly","Jogendra Duryodhan Dahatonde","Jogendra Duryodhan Dahatonde","Maharashtra","Amravati"
"1110","AAWAJ JANMANSACHA","MHMAR/25/A0363","22-05-2025","Marathi","Weekly","ARVIND CHANDANE","ARVIND CHANDANE","Maharashtra","Thane"
"1111","AAWAJ KE DAYARE","UPURD/2022/84012","27-04-2023","Urdu","Daily","VIVEK SINGH","VIVEK SINGH","Uttar Pradesh","Lucknow"
"1112","Aawaj Maharashtra Desh","MHMAR/26/A3998","21-05-2026","Marathi","Weekly","Akash Ashok Alkunte","Akash Ashok Alkunte","Maharashtra","Dharashiv"
"1113","AAWAJ MEWAR KI","RAJHIN/2012/45249","17-09-2012","Hindi","Fortnightly","LALIT VYAS","LALIT VYAS","Rajasthan","Bhilwara"
"1114","AAWAJ NEWS","RAJHIN/2021/82775","17-11-2022","Hindi","Fortnightly","AMAN SHARMA","AMAN SHARMA","Rajasthan","Ganganagar"
"1115","Aawaj satapudyacha ahilya","MHMAR/25/A4747","04-12-2025","Marathi","Weekly","Shivdas Ukharda Sonone","Shivdas Ukharda Sonone","Maharashtra","Buldhana"
"1116","AAWAJ SHIKSHAKANCHA","MHMAR/26/A1872","23-03-2026","Marathi","Weekly","BALWANT SAMBHAJI PATIL","BALWANT SAMBHAJI PATIL","Maharashtra","Satara"
"1117","Aawam India","UAHIN/25/A3210","14-10-2025","Hindi","Weekly","Mohd Vasi","Mohd Vasi","Uttarakhand","Dehradun"
"1118","AAWAMI NEWS","CHHURD/2013/53729","30-12-2013","Urdu","Daily","PREM","PREM","Chhattisgarh","Raipur"
"1119","AAWAMI NEWS","JHAURD/2012/43797","06-07-2012","Urdu","Daily","PREM","PREM","Jharkhand","Dhanbad"
"1120","AAWAMI NEWS","DELURD/2014/63924","27-08-2015","Urdu","Daily","PREM","PREM","Delhi","New Delhi"
"1121","AAWAMI NEWS","UPURD/2016/71978","01-06-2017","Urdu","Daily","PREM","PREM","Uttar Pradesh","Lucknow"
"1122","AAWAMI NEWS","JHURD/26/A0463","16-01-2026","Urdu","Daily","PREM SHANKAR","PREM SHANKAR","Jharkhand","Deoghar"
"1123","AAWAMI NEWS","WBURD/2014/56804","29-08-2014","Urdu","Daily","PREM","PREM","West Bengal","Kolkata"
"1124","AAWAMI NEWS","JHAURD/2011/37239","16-05-2011","Urdu","Daily","PREM","PREM","Jharkhand","Ranchi"
"1125","AAWAMI NEWS","BIHURD/2014/60226","16-02-2015","Urdu","Daily","PREM SHANKAR","PREM SHANKAR","Bihar","Patna"
"1126","AAWAS YOG","RAJHIN/2012/48208","22-02-2013","Hindi","Fortnightly","MASUM ALI","MASUM ALI","Rajasthan","Ajmer"
"1127","AAWAZ DO","MAHMAR/2023/87998","16-07-2024","MARATHI","Weekly","LALASAHEB BABAJI GAIKWAD","LALASAHEB BABAJI GAIKWAD","Maharashtra","Pune"
"1128","AAWAZ E ALFAZ","MPHIN/26/A3815","18-05-2026","Hindi","Quarterly","nadeem","nadeem","Madhya Pradesh","Bhopal"
"1129","AAWAZ E ALFAZ","MPHIN/2021/81741","25-07-2022","Hindi","Monthly","NADEEM","NADEEM","Madhya Pradesh","Bhopal"
"1130","AAWAZ E KARNATAK","KARURD/2017/76639","03-01-2019","Urdu","Daily","SYED ABDUL KAREEM","SYED ABDUL KAREEM","Karnataka","Ramanagara"
"1131","aawaz e mukhatib","MPHIN/26/A5689","02-07-2026","Hindi","Quarterly","mohd shamim khan","mohd shamim khan","Madhya Pradesh","Bhopal"
"1132","AAWAZ E NAU","UTTURD/2010/35667","08-02-2011","Urdu","Weekly","Rajiya Khatoon","Rajiya Khatoon","Uttarakhand","Dehradun"
"1133","AAWAZ MARATHWADYACHA","MAHMAR/2020/90585","03-04-2025","MARATHI","Daily","SHANKARRAO SAMBHAJI KHARATE","SHANKARRAO SAMBHAJI KHARATE","Maharashtra","Hingoli"
"1134","AAWAZ NEWS","MAHMAR/2021/81579","17-06-2022","Marathi","Weekly","GOPAL DAGDU PARDESHI","GOPAL DAGDU PARDESHI","Maharashtra","Pune"
"1135","AAWAZ SAURASHTRA NI","GJGUJ/25/A4686","03-12-2025","Gujarati","Weekly","GARAIYA PRAKASHBHAI JANAKBHAI","GARAIYA PRAKASHBHAI JANAKBHAI","Gujarat","Rajkot"
"1136","AAWAZ-E-GANI","UPURD/2009/38306","22-07-2011","Urdu","Daily","MOHD. AMIR","MOHD. AMIR","Uttar Pradesh","Gonda"
"1137","AAWAZ-E-LUCKNOW","UPURD/2009/27884","29-05-2009","Urdu","Weekly","PRADEEP KUMAR GUPTA","PRADEEP KUMAR GUPTA","Uttar Pradesh","Lucknow"
"1138","AAWK NEWS","KERMAL/2011/40040","16-12-2011","Malayalam","Monthly","M.K. VIJAYAN","ASSOCIATION OF AUTOMOBILE WORKSHOPS KERALA","Kerala","Ernakulam"
"1139","AAYA SAMPATTI VEI UPHAAR KAR SAMACHAR","57850","25-03-1994","Hindi","Monthly","RAJENDRA SINGH RATHORE","RAJENDRA SINGH RATHORE","Rajasthan","Barmer"
"1140","AAYAKAR","12918","10-10-1962","English, HINDI","Monthly","K. K. N. KUTTY","INCOME-TAX EMPLOYEER FEDERATION","Delhi","New Delhi"
"1141","AAYAT-E-JAHAN","UPURD/2022/84013","27-04-2023","Urdu","Daily","SANTOSH SHUKLA","SANTOSH SHUKLA","Uttar Pradesh","Lucknow"
"1142","AAYEENA KASHMIR","JKURD/2002/06553","01-05-2002","Urdu","Daily","MANSOOR AHMED SHAH","MANSOOR AHMED SHAH","Jammu and Kashmir","Srinagar"
"1143","AAYKAR MEDIA","MPHIN/2016/74084","02-01-2018","Hindi","Daily","PRAVIN MISHRA","PRAVIN MISHRA","Madhya Pradesh","Rewa"
"1144","AAYOG","56562","14-12-1993","Hindi","Daily","KRISHAN GOPAL GUPTA","KRISHAN GOPAL GUPTA","Madhya Pradesh","Satna"
"1145","AAYUDH UPDATES","MPBIL/25/A1037","04-06-2025","Hindi, English","Bimonthly (Once in two months)","ANKIT SHARMA","Aayudh Digital Media","Madhya Pradesh","Bhopal"
"1146","AAYUDHAM","TNTAM/2006/21306","09-11-2010","Tamil","Fortnightly","A. VISWANATHAN","A.VISWANATHAN","Tamil Nadu","Chennai"
"1147","AAYUSH KHABAR","MPHIN/2022/85091","30-06-2023","Hindi","Monthly","VIMAL KUNWAR","VIMAL KUNWAR","Madhya Pradesh","Bhopal"
"1148","AAYUSH MAIL","UTTHIN/2012/46633","27-11-2012","Hindi","Weekly","PANKAJ KUMAR AGGARWAL","PANKAJ KUMAR AGGARWAL","Uttarakhand","Dehradun"
"1149","AAYUSH MANTHAN","MPHIN/25/A5143","15-12-2025","Hindi","Quarterly","Varsha baghel","Varsha baghel","Madhya Pradesh","Chhatarpur"
"1150","AAYUSH MANTHAN","MPHIN/25/A4578","02-12-2025","Hindi","Quarterly","Varsha baghel","Varsha baghel","Madhya Pradesh","Ujjain"
"1151","AAYUSH MANTHAN","MPHIN/2018/77472","17-06-2019","Hindi","Fortnightly","VARSHA BAGHEL","VARSHA BAGHEL","Madhya Pradesh","Bhopal"
"1152","AAYUSH MANTHAN","MPHIN/2016/72618","25-07-2017","Hindi","Monthly","VARSHA BAGHEL","VARSHA BAGHEL","Madhya Pradesh","Bhopal"
"1153","AAYUSH MANTHAN","MPHIN/2021/83011","12-12-2022","Hindi","Quarterly","VARSHA BAGHEL","VARSHA BAGHAL","Madhya Pradesh","Bhopal"
"1154","AAYUSHMAN","MAHMAR/2009/32171","06-05-2010","Marathi","Weekly","ATUL SUBHASH HONKALASE","ATUL SUBHASH HONKALASE","Maharashtra","Satara"
"1155","AAYUTHA EZHUTHU","TNTAM/2016/69042","24-10-2016","Tamil","Weekly","S. MANIKANDAN","S.MANIKANDAN","Tamil Nadu","Chennai"
"1156","AAYUTHATHARI","TNTAM/2000/01239","20-06-2000","Tamil","Monthly","PAS.K.B.EDISON","PAS.K.B.EDISON","Tamil Nadu","Chennai"
"1157","AAZAD AAINA","UPHIN/2011/37696","03-09-2013","Hindi","Daily","ANUPAM AGARWAL","ANUPAM AGARWAL","Uttar Pradesh","Lucknow"
"1158","AAZAD BHAGAT EXPRESS","UTTHIN/2012/50499","27-06-2013","Hindi","Weekly","RAJPAL SINGH TOMAR","RAJPAL SINGH TOMAR","Uttarakhand","Dehradun"
"1159","AAZAD BHARAT","60114","14-08-1994","Hindi","Weekly","MOULANA MOIN","MOULANA MOIN","Rajasthan","Nagaur"
