title,registration_number,registration_date,language,periodicity,publisher,owner,publication_state,publication_district
AABESHBHUMI,WBBEN/2021/88643,2024-08-21,BENGALI,Daily,GOURISANKAR MAHAPATRA,GOURISANKAR MAHAPATRA,West Bengal,Purba Medinipur
AABHASKAR SAMAJ SEWA KALYAN SAMUH NEWS,MPHIN/2022/90610,2025-04-03,Hindi,Monthly,ARCHNA MEHTA,ABHASKAR SAMAJ SEWA KALYAN SAMITI,Madhya Pradesh,Datia
AABHASKAR SAMAJ SEWA KALYAN SAMUH NEWS,MPHIN/2018/76540,2018-12-14,Hindi,Monthly,SHRIRAM MEHTA,ABHASKAR SAMAJ SEWA KALYAN SAMITI,Madhya Pradesh,Ujjain
AABHASKAR SAMAJ SEWA KALYAN SAMUH NEWS,MPHIN/2022/82937,2022-12-12,Hindi,Monthly,SHRIRAM MEHTA,ABHASKAR SAMAJ SEWA KALYAN SAMITI,Madhya Pradesh,Betul
AABHASKAR SAMAJ SEWA KALYAN SAMUH NEWS,MPHIN/2022/89692,2024-10-17,HINDI,Monthly,SHRIRAM MEHTA,ABHASKAR SAMAJ SEWA KALYAN SAMITI,Madhya Pradesh,Barwani
AABHASKAR SAMAJ SEWA KALYAN SAMUH NEWS,MPHIN/2022/86330,2024-02-06,Hindi,Monthly,SHRIRAM MEHTA,ABHASKAR SAMAJ SEWA KALYAN SAMITI,Madhya Pradesh,Alirajpur
AABHASKAR SAMAJ SEWA KALYAN SAMUH NEWS,MPHIN/2022/90986,2025-06-19,Hindi,Monthly,SHRIRAM MEHTA,ABHASKAR SAMAJ SEWA KALYAN SAMITI,Madhya Pradesh,Khandwa
AABHASKAR SAMAJ SEWA KALYAN SAMUH NEWS,MPHIN/2022/90147,2024-11-13,HINDI,Monthly,SHRIRAM MEHTA,ABHASKAR SAMAJ SEWA KALYAN SAMITI,Madhya Pradesh,Alirajpur
AABHASKAR SAMAJ SEWA KALYAN SAMUH NEWS,MPHIN/2022/91141,2025-08-07,Hindi,Monthly,SHRIRAM MEHTA,ABHASKAR SAMAJ SEWA KALYAN SAMITI,Madhya Pradesh,Agar Malwa
AABHASKAR SAMAJ SEWA KALYAN SAMUH NEWS,MPHIN/2022/82679,2022-11-07,Hindi,Monthly,SHRIRAM MEHTA,ABHASKAR SAMAJ SEWA KALYAN SAMITI,Madhya Pradesh,Khargone
AABHASKAR SAMAJ SEWA KALYAN SAMUH NEWS,MPHIN/2022/91132,2025-08-07,Hindi,Monthly,SHRIRAM MEHTA,ABHASKAR SAMAJ SEWA KALYAN SAMITI,Madhya Pradesh,Burhanpur
AABHASKAR SAMAJ SEWA KALYAN SAMUH NEWS,MPHIN/2022/90985,2025-06-19,Hindi,Monthly,SHRIRAM MEHTA,ABHASKAR SAMAJ SEWA KALYAN SAMITI,Madhya Pradesh,Raisen
AABHASKAR SAMAJ SEWA KALYAN SAMUH NEWS,MPHIN/2021/81737,2022-07-25,Hindi,Weekly,PRAKASH MEHTA,ABHASKAR SAMAJ SEWA KALYAN SAMITI,Madhya Pradesh,Shajapur
AABHASKAR SAMAJ SEWA KALYAN SAMUH NEWS,MPHIN/2023/89693,2024-10-16,HINDI,Monthly,ARCHANA MEHTA,ABHASKAR SAMAJ SEWA KALYAN SAMITI,Madhya Pradesh,Ratlam
AABHASKAR SAMAJ SEWA KALYAN SAMUH NEWS,MPHIN/2020/79689,2021-03-15,Hindi,Monthly,SHRIRAM MEHTA,ABHASKAR SAMAJ SEWA KALYAN SAMITI,Madhya Pradesh,Sehore
AABKARI GYAN,MPHIN/2020/79649,2021-03-10,Hindi,Monthly,JAWAHARLAL CHANDWANI,JAWAHARLAL CHANDWANI,Madhya Pradesh,Indore
AABKARI SANDESH,RAJHIN/2011/40830,2012-02-21,Hindi,Fortnightly,SANJAY GAUTAM,SANJAY GAUTAM,Rajasthan,Jaipur
AABKARI TIMES,UPHIN/2010/36360,2011-03-22,Hindi,Monthly,PREM SHANKAR MISHRA,PREM SHANKAR MISHRA,Uttar Pradesh,Prayagraj
AABRU E CHAMAN,MPHIN/2020/82449,2022-10-21,Hindi,Quarterly,MOHSIN HASAN,MOHSIN HASAN,Madhya Pradesh,Bhopal
AABRU E WATAN,DELURD/2018/75706,2018-07-20,Urdu,Weekly,SHAHID NAEEM,SHAHID NAEEM,Delhi,New Delhi
AABU PRAHARI,RAJHIN/2016/70616,2017-03-03,Hindi,Fortnightly,DHARMESH JAIN,DHARMESH JAIN,Rajasthan,Sirohi
AACHAR VICHAR,MPHIN/2022/83405,2023-02-23,Hindi,Quarterly,AKRAM,AKRAM,Madhya Pradesh,Bhopal
AACHARAN,MPHIN/2023/89155,2024-09-25,HINDI,Daily,ASAD QURESHI,ACHARAN PRINTERS PVT.LTD.,Madhya Pradesh,Bhopal
AACHARAN,22177,1990-12-10,Hindi,Daily,ASAD QURESHI,ACHARAN PRINTERS PVT.LTD.,Madhya Pradesh,Gwalior
AACHARAN SANDESH,MPHIN/2016/66589,2016-04-04,Hindi,Monthly,KANTA CHANDELKAR,KANTA CHANDELKAR,Madhya Pradesh,Bhopal
AACHARAN SANDESH,UPHIN/2018/75194,2018-05-10,Hindi,Monthly,KANTA CHANDELKAR,KANTA CHANDELKAR,Uttar Pradesh,Lalitpur
AACHARAN TODAY,MPHIN/2013/49634,2013-05-13,Hindi,Monthly,ANAND KIUMAR VERMA,ANAND KUMAR VERMA,Madhya Pradesh,Bhopal
AACHARYA VIKAS,RAJHIN/2002/08471,2002-12-02,Hindi,Fortnightly,VIKAS SHARMA,VIKAS SHARMA,Rajasthan,Hanumangarh
AACHI VANTHACHU,TNTAM/2000/04479,2001-07-27,Tamil,Monthly,N. PALANIAPPAN,N.PALANIAPPAN,Tamil Nadu,Madurai
AACHRAN,45267,1992-11-04,Hindi,Daily,SUNIL JAIN,DAINIK AACHRAN PVT. LTD.,Madhya Pradesh,Sagar
AADAAB SIDDIPET,TGTEL/26/A0789,2026-01-27,Telugu,Daily,VADLAKONDA SRINIVAS,VADLAKONDA SRINIVAS,Telangana,Siddipet
AADAB HINDUSTANI,TELTEL/2015/62051,2015-05-22,Telugu,Daily,GADDI DEVRAJ,GADDI DEVRAJ,Telangana,Hyderabad
AADAB HYDERABAD,APTEL/26/A3873,2026-05-19,Telugu,Daily,VEERAMALLA SATYAM,VEERAMALLA SATYAM,Andhra Pradesh,Krishna
AADAB HYDERABAD,TELTEL/2012/46785,2012-12-05,Telugu,Daily,VEERAMALLA SATYAM,VEERAMALLA SATYAM,Telangana,Rangareddy
AADAB TELANGANA,TELURD/2014/57920,2014-10-24,Urdu,Daily,MOHAMMAD AZAM ALI,MOHAMMAD AZAM ALI,Telangana,Hyderabad
AADAMPUR TIMES,HARHIN/2008/29032,2011-02-02,Hindi,Weekly,VINOD KUMAR,VINOD KUMAR,Haryana,Hisar
AADARSH AMDAVAD SAMACHAR PATRIKA,GUJGUJ/2007/21841,2007-11-27,Gujarati,Monthly,BHARATBHAI JUTHABHAI SHAH,HIMATBHAI SHAMALDAS SHAH SHASAN SEVA CHARITABLE TRUST,Gujarat,Ahmedabad
AADARSH BHARAT,UPHIN/2008/24627,2008-07-10,Hindi,Weekly,SUSHILA,SUSHILA,Uttar Pradesh,Prayagraj
AADARSH DELHI,HRHIN/26/A2155,2026-04-02,Hindi,Daily,Rakhi Singh,Rakhi Singh,Haryana,Faridabad
AADARSH DELHI,HRHIN/26/A1471,2026-02-27,Hindi,Daily,Rakhi Singh,Rakhi Singh,Haryana,Rohtak
AADARSH DELHI,CHHIN/26/A3616,2026-05-13,Hindi,Daily,Rakhi Singh,Rakhi Singh,Chandigarh,Chandigarh
AADARSH DELHI,DELHIN/2013/53327,2013-12-03,HINDI,Daily,Rakhi Singh,Rakhi Singh,Delhi,New Delhi
AADARSH DELHI,DELHIN/2013/50472,2013-06-25,HINDI,Weekly,Rakhi Singh,Rakhi Singh,Delhi,New Delhi
AADARSH GWALIOR,MPHIN/2021/81251,2022-03-24,Hindi,Weekly,SANJEEV KUMAR SHARMA,SANJEEV KUMAR SHARMA,Madhya Pradesh,Gwalior
AADARSH KESARI,MPHIN/26/A5036,2026-06-12,Hindi,Monthly,meena saraf,meena saraf,Madhya Pradesh,Gwalior
AADARSH KUTUMB,MAHMAR/2021/83160,2023-01-19,Marathi,Weekly,ANITA SANJAYSING GIRASE,ANITA SANJAYSING GIRASE,Maharashtra,Nandurbar
AADARSH LUCKNOW,UPHIN/2022/83046,2023-02-24,Hindi,Monthly,RUKHSANA,RUKHSANA,Uttar Pradesh,Lucknow
AADARSH NARWARIYA DARPAN,MPHIN/2019/78187,2019-11-29,Hindi,Monthly,PRAMOD SINGH JATAV,PRAMOD SINGH JATAV,Madhya Pradesh,Gwalior
AADARSH POLICE JAN SANDESH,UPBIL/2015/63274,2015-07-16,"English, HINDI",Fortnightly,VISHNU SHANKER TRIPATHI,VISHNU SHANKER TRIPATHI,Uttar Pradesh,Kanpur Nagar
AADARSH POLICE JAN SANDESH,UPHIN/2015/65167,2015-12-09,Hindi,Weekly,VISHNU SHANKER TRIPATHI,VISHNU SHANKER TRIPATHI,Uttar Pradesh,Kanpur Nagar
AADARSH RAJDHANI,MPHIN/2017/70859,2017-04-18,Hindi,Monthly,ANIL KUMAR,ANIL KUMAR,Madhya Pradesh,Bhopal
AADARSH SAMACHAR SANKET,MPHIN/2019/77083,2019-03-29,Hindi,Monthly,MOHAMMAD ASIF GORI,MOHAMMAD ASIF GORI,Madhya Pradesh,Indore
AADARSH SAMRAT,MAHMAR/2018/74883,2018-02-22,Marathi,Weekly,KRUSHNA SANDUJI BANKAR,KRUSHNA SANDUJI BANKAR,Maharashtra,Chhatrapati Sambhaji Nagar
AADARSH SWARAJYA,MAHMAR/2021/81671,2022-07-12,Marathi,Weekly,UDAY ASHOK PAWAR,UDAY ASHOK PAWAR,Maharashtra,Mumbai
AADARSH UNATI,MAHMAR/2023/86231,2024-01-31,Marathi,Weekly,FEROZ KHAN HASAN KHAN PATHAN,FEROZ KHAN HASAN KHAN PATHAN,Maharashtra,Hingoli
AADARSH YOJNA,UPHIN/2021/82094,2022-09-08,Hindi,Weekly,SAEED AHMAD,SAEED AHMAD,Uttar Pradesh,Lucknow
AADARSHA BHARATHI,TELTEL/2013/51423,2013-08-14,Telugu,Daily,SYEDA ALIAH ISMATH,SYEDA ALIAH ISMATH,Telangana,Rangareddy
AADARSHA CHIRAG,RAJHIN/2015/62950,2015-06-29,Hindi,Fortnightly,PEEYUSH JAIN,PEEYUSH JAIN,Rajasthan,Jaipur
AADARSHA KIRANAM,TGTEL/26/A1706,2026-03-18,Telugu,Monthly,VANGALA BALARAJ GOUD,VANGALA BALARAJ GOUD,Telangana,Hyderabad
AADARSHA NIRNAY,MAHMAR/2007/19438,2007-04-26,Marathi,Weekly,PRITAM KUMAR GOVERDHAN,PRITAM KUMAR GOVERDHAN,Maharashtra,Mumbai
AADAT VYAPAR SAMACHAR,26789,1974-02-21,"English, HINDI",Fortnightly,ROSHAN ALUNG,ROSHAN ALUNG,Delhi,New Delhi
AADDHI OLI,TNTAM/2009/30383,2010-01-12,Tamil,Monthly,B.R. GEETHA,B.R. GEETHA,Tamil Nadu,Chennai
AADESH JANTECHA,MHMAR/25/A1654,2025-07-04,Marathi,Weekly,BHIMANNA,BHIMANNA,Maharashtra,Pune
AADESH NAMA,MHMAR/26/A3131,2026-05-06,Marathi,Bimonthly (Once in two months),MUKESH MULCHAND KOLI,MUKESH MULCHAND KOLI,Maharashtra,Jalgaon
AADESH PATRA,MAHMAR/2023/87346,2024-05-20,Marathi,Weekly,DIPAK NAMDEO PATOLE,DIPAK NAMDEO PATOLE,Maharashtra,Dhule
AADHA JAMANA,62221,1995-09-15,Hindi,Weekly,JIWAT RAM SINDHI,JIVAT RAM SINDHI,Rajasthan,Bhilwara
AADHAAR,40658,1983-10-04,"English, HINDI",Quarterly,,,Delhi,New Delhi
AADHALA VARTA,MHBIL/25/A1143,2025-06-06,"Hindi, Marathi",Weekly,Shantaram Murlidhar Darade,Shantaram Murlidhar Darade,Maharashtra,Ahilyanagar
AADHAN NEWS,TNTAM/2021/81268,2022-03-24,Tamil,Monthly,RAMASWAMY,RAMASWAMY,Tamil Nadu,Chennai
AADHAN TELUGU,TGTEL/25/A0989,2025-06-04,Telugu,Daily,PATAPATI PRABHAKAR VARMA RAJU,PATAPATI PRABHAKAR VARMA RAJU,Telangana,Hyderabad
AADHAR ODISHA,ODIODI/2021/88278,2024-08-02,Oriya,Weekly,SIBA PRASAD SASAMALA,KISHOR CHANDRA PADHI,Odisha,Bargarh
AADHAR SAMARPAN,MPHIN/2010/39272,2011-10-13,Hindi,Monthly,RAJESH AZAD,RAJESH AZAD,Madhya Pradesh,Bhopal
AADHAR SANHITA,MPHIN/2011/43165,2014-01-07,Hindi,Monthly,NAHID QURAISHI,NAHID QURAISHI,Madhya Pradesh,Bhopal
AADHAR SATYA,MAHMAR/2016/74197,,Marathi,Daily,GAIBAN LATIF MIRASAHEB,GAIBAN LATIF MIRASAHEB,Maharashtra,Kolhapur
AADHAR STAMBH,MAHMAR/2022/82816,2022-11-22,Marathi,Daily,SANDIP SAMADHAN GAWANDE,SANDIP SAMADHAN GAWANDE,Maharashtra,Buldhana
AADHARBHOOT SIDDHANT,MPHIN/2023/87594,2024-06-24,HINDI,Monthly,ANIRUDDH SINGH,ANIRUDDH SINGH,Madhya Pradesh,Bhopal
AADHARBHOOT SIDDHANT,MPHIN/25/A4563,2025-12-02,Hindi,Quarterly,aniruddh singh,aniruddh singh,Madhya Pradesh,Bhopal
AADHARSHA RATHNA,APTEL/2002/08514,2010-06-18,Telugu,Daily,PATI VENKATANARASIMHA RAO,PATI VENKATANARASIMHA RAO,Andhra Pradesh,Chittoor
AADHARSHILA SAHITYAM,CHAHIN/2021/85338,2023-08-31,Hindi,Quarterly,ANEETA SURBHI,ANEETA SURBHI,Chandigarh,Chandigarh
AADHARSHILA TIMES,UPHIN/2014/59379,2015-01-02,Hindi,Daily,JAIPRAKASH YADAV,JAIPRAKASH YADAV,Uttar Pradesh,Basti
AADHAVAN PAARVAI,TNTAM/2015/66329,2016-03-04,Tamil,Weekly,K. SATHIYA,K.SATHIYA,Tamil Nadu,Chennai
AADHAVAN REEPORTER,TNTAM/26/A5223,2026-06-17,Tamil,Monthly,Bhuvaneshwaran,Bhuvaneshwaran,Tamil Nadu,Tiruppur
AADHESH JANJAGRUTICHA,MHMAR/26/A2486,2026-04-13,Marathi,Weekly,Pravin Shrinivas Londhe,Pravin Shrinivas Londhe,Maharashtra,Sangli
AADHI AABADI,UPHIN/26/A5213,2026-06-17,Hindi,Monthly,RICHA GUPTA,RICHA GUPTA,Uttar Pradesh,Lucknow
AADHI DUNIA,CHHHIN/2013/54861,2014-03-06,Hindi,Weekly,SUNITA SAH,SUNITA SAH,Chhattisgarh,Raipur
AADHI RAAT,38721,1981-08-02,English,Monthly,KALICHARAN SHARMA,KALICHARAN SHARMA,Uttar Pradesh,Agra
AADHUNIK AADAN PRADAN,UAHIN/25/A2652,2025-09-18,Hindi,Weekly,Munish Sharma,Munish Sharma,Uttarakhand,Haridwar
AADHUNIK INDIA,DELHIN/2010/30630,2010-02-02,Hindi,Fortnightly,DINESH KUMAR CHAUHAN,DINESH KUMAR CHAUHAN,Delhi,New Delhi
AADHUNIK JAGAT,MPHIN/2011/42496,2012-05-25,Hindi,Monthly,ARVIND JAIN,ARVIND JAIN,Madhya Pradesh,Bhopal
AADHUNIK JEEWAN LEELA,51436,1992-06-09,Hindi,Fortnightly,"LAXMI STREET SHIVPURI DIST  LUDHIANA, PUNJAB",PAUL N MODGIL,Punjab,Ludhiana
AADHUNIK KESARI,MAHMAR/2021/82566,2022-10-25,Marathi,Daily,PRABHU VENKATRAO GORE,PRABHU VENKATRAO GORE,Maharashtra,Chhatrapati Sambhaji Nagar
AADHUNIK KESARI,MHMAR/26/A1462,2026-02-26,Marathi,Daily,Prabhu Venkatrao Gore,Prabhu Venkatrao Gore,Maharashtra,Nanded
AADHUNIK LOKTANTRA,RAJHIN/2020/82141,2022-09-16,Hindi,Fortnightly,SANJAY KUMAR,SANJAY KUMAR,Rajasthan,Ajmer
AADHUNIK MANAK,UAHIN/25/A2973,2025-09-30,Hindi,Weekly,PANKAJ,PANKAJ,Uttarakhand,Dehradun
AADHUNIK MEDIA,MPHIN/2021/82655,2022-11-10,Hindi,Daily,HARIOM TYAGI,HARIOM TYAGI,Madhya Pradesh,Gwalior
AADHUNIK MEDIA,MPHIN/2020/80170,2021-10-25,Hindi,Weekly,HARIOM TYAGI,HARIOM TYAGI,Madhya Pradesh,Gwalior
AADHUNIK PATRAKARITA,MHMAR/26/A2252,2026-04-06,Marathi,Weekly,Chaitanya Dilip Rudrabhate,Chaitanya Dilip Rudrabhate,Maharashtra,Satara
AADHUNIK PRADESH,UAHIN/25/A5455,2025-12-30,Hindi,Fortnightly,SUNDAR SINGH,SUNDAR SINGH,Uttarakhand,Dehradun
AADHUNIK SANSAR,MPHIN/2013/50112,2013-06-03,Hindi,Monthly,RAKESH KUMAR,RAKESH KUMAR,Madhya Pradesh,Gwalior
AADHUNIK SANVAAD,UAHIN/26/A3592,2026-05-13,Hindi,Weekly,Ranjan rawat,Ranjan rawat,Uttarakhand,Garhwal
AADHYA MAIL UPDATE INDIA,UPHIN/26/A4969,2026-06-11,Hindi,Daily,DHIRENDRA SOLANKI,DHIRENDRA SOLANKI,Uttar Pradesh,Etah
AADHYAATMIK DARSHAN,MPHIN/2023/89118,2024-09-24,HINDI,Quarterly,SANTOSH SAHU,SANTOSH SAHU,Madhya Pradesh,Gwalior
AADHYATM SHAKTI,CHHHIN/2019/79345,2021-02-01,Hindi,Monthly,SHAILENDRA BANJARE,SHAILENDRA BANJARE,Chhattisgarh,Raipur
AADHYATMA SAMPRADAYA,KARKAN/2016/69500,2016-12-05,Kannada,Monthly,RAJU V.D.,SHREE ADHYATMA TRUST COMMITEE BHANDIWAD,Karnataka,Dharwad
AADHYATMIKA NEWS MUSSORIE,UAHIN/25/A3165,2025-10-13,Hindi,Monthly,sunita,sunita,Uttarakhand,Dehradun
AADI ANANT NEWS,GJMUL/26/A6202,2026-07-28,"English, Hindi, Gujarati",Daily,MAMTABEN ROHITBHAI PATEL,Akshay Patel,Gujarat,Vadodara
AADI BHARAT,TELBIL/2016/74130,2017-12-11,"English, HINDI",Weekly,BHUPAL VALMIKI,BHUPAL VALMIKI,Telangana,Hyderabad
AADI PARASAKTHI-MAHAKALI,APTEL/2000/07110,2002-07-04,Telugu,Monthly,M.K.GNANI,M.K.GNANI,Andhra Pradesh,Prakasam
AADI SHAKTI,MAHMAR/2010/35441,2011-01-24,Marathi,Weekly,POORNIMA SUDHIR KABRE,POORNIMA SUDHIR KABRE,Maharashtra,Thane
AADI SWARAJYA,MAHMAR/2023/84522,2023-05-26,Marathi,Weekly,DATTARAM RAMCHANDRA BIRARI,DATTARAM RAMCHANDRA BIRARI,Maharashtra,Mumbai
AADI UDBHAV,UTTHIN/2016/69362,2016-11-16,Hindi,Daily,ANITA JOSHI,ANITA JOSHI,Uttarakhand,Dehradun
AADIKAAL,UPHIN/2010/33104,2010-08-03,Hindi,Weekly,SUSHEELA SHUKLA,SUSHEELA SHUKLA,Uttar Pradesh,Bareilly
AADIKAAL,UPHIN/2011/47700,2013-06-27,Hindi,Weekly,SUSHEELA SHUKLA,SUSHEELA SHUKLA,Uttar Pradesh,Bareilly
AADIKAAL,UPHIN/2013/48791,2013-03-22,Hindi,Daily,SUSHEELA SHUKLA,SUSHEELA SHUKLA,Uttar Pradesh,Lucknow
AADIKAAL,UPHIN/2011/39140,2014-01-29,Hindi,Daily,SUSHEELA SHUKLA,SUSHEELA SHUKLA,Uttar Pradesh,Bareilly
AADIKAAL,UPHIN/2012/45526,2012-10-04,Hindi,Weekly,SUSHEELA SHUKLA,SUSHEELA SHUKLA,Uttar Pradesh,Lucknow
